City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mount pearl,47.5166,-52.7813,61.32,80,100,11.5,CA,1691603004
1,coquimbo,-29.9533,-71.3436,60.53,77,75,8.05,CL,1691602995
2,waitangi,-43.9535,-176.5597,47.82,83,34,5.99,NZ,1691603005
3,mahina,-17.5065,-149.489,73.17,83,20,1.14,PF,1691602942
4,mao,39.8885,4.2658,81.16,69,0,8.05,ES,1691603005
5,tianpeng,30.9866,103.9393,84.67,87,100,4.05,CN,1691603007
6,zhezqazghan,47.7833,67.7667,74.66,52,54,10.0,KZ,1691603007
7,sao vicente,-23.9631,-46.3919,78.98,54,100,3.44,BR,1691602872
8,corvallis,44.5646,-123.262,76.24,65,51,1.01,US,1691602648
9,napanee,44.2501,-76.9494,80.58,43,25,11.81,CA,1691603008
10,hithadhoo,-0.6,73.0833,81.45,73,87,3.47,MV,1691603008
11,wailua homesteads,22.0669,-159.378,79.59,79,100,19.57,US,1691603009
12,korla,41.7597,86.1469,83.71,23,0,3.87,CN,1691603009
13,fort bragg,35.139,-79.006,89.91,44,0,8.99,US,1691603009
14,lesogorsk,56.0458,99.5136,60.15,75,100,1.45,RU,1691603010
15,kruisfontein,-34.0033,24.7314,60.89,85,12,15.59,ZA,1691603010
16,tommot,58.9564,126.2925,59.31,98,100,4.32,RU,1691603011
17,coulommiers,48.8145,3.085,76.1,72,69,3.2,FR,1691603011
18,bathurst,-33.4166,149.5806,42.82,89,53,3.04,AU,1691603011
19,lima,-12.0432,-77.0282,70.05,68,100,8.05,PE,1691602717
20,igrim,63.1906,64.4162,54.07,63,70,4.65,RU,1691603012
21,novo lino,-8.915,-35.6467,78.21,65,12,10.18,BR,1691603012
22,ichinohe,40.2069,141.3017,78.87,81,51,13.22,JP,1691603012
23,uyuni,-20.4597,-66.825,50.04,27,0,11.56,BO,1691603013
24,mangrol,21.1167,70.1167,80.56,83,100,15.39,IN,1691603013
25,hawaiian paradise park,19.5933,-154.9731,74.03,96,100,5.75,US,1691603013
26,arraial do cabo,-22.9661,-42.0278,75.06,69,75,17.27,BR,1691603014
27,alamar,23.1583,-82.2769,93.43,63,2,11.03,CU,1691603014
28,tadine,-21.55,167.8833,64.15,63,13,13.96,NC,1691603014
29,broken hill,-31.95,141.4333,51.87,49,2,6.29,AU,1691603014
30,sao joao do paraiso,-15.3136,-42.0144,80.24,33,0,9.6,BR,1691603015
31,kodiak,57.79,-152.4072,53.11,100,100,0.0,US,1691603015
32,usinsk,65.9939,57.5281,56.32,80,100,6.67,RU,1691603016
33,mabaruma,8.2,-59.7833,91.8,52,55,4.76,GY,1691603016
34,gorontalo,0.5412,123.0595,72.9,98,96,2.98,ID,1691603016
35,utrik,11.2278,169.8474,82.33,74,37,10.71,MH,1691603017
36,lebu,-37.6167,-73.65,54.23,87,100,26.17,CL,1691603017
37,puerto natales,-51.7236,-72.4875,41.07,92,100,1.68,CL,1691603017
